feature,value,beta
init,0,0.9999
Age Range,55-64,0.9999
Age Range,25-34,0.9862990747627294
Age Range,45-54,0.9130508503810817
Age Range,65-74,0.8754609663039902
Age Range,75_and_up,0.9999
Age Range,35-44,0.9999
Age Range,16-24,0.9999
Housing Status,Rent,0.9670039840583717
Housing Status,Unhoused,0.9999
Housing Status,Own,0.9999
Gender,Another gender identity,0.9999
Gender,Female,0.9999
Gender,Male,0.8989682713282607
Race/Ethnicity,AAPI,0.9531431528186454
Race/Ethnicity,White,0.9999
Race/Ethnicity,Latinx,0.9999
Race/Ethnicity,Multiracial,0.9999
Race/Ethnicity,Native_American,0.2861713557828783
Race/Ethnicity,Black,0.9332426517503741
Educational Attainment,Some_schooling,0.7473896519667621
Educational Attainment,Some_college,0.9999
Educational Attainment,High_school,0.9999
Educational Attainment,Bachelors,0.9999
