feature,value,beta
init,0,0.9999
Age Range,55-64,0.9999
Age Range,45-54,0.9130601119738552
Age Range,65-74,0.87543635685618
Age Range,35-44,0.9999
Age Range,75_and_up,0.9999
Age Range,16-24,0.9999
Age Range,25-34,0.9863488147323746
Housing Status,Unhoused,0.9999
Housing Status,Own,0.9999
Housing Status,Rent,0.9669807626142743
Gender,Female,0.9999
Gender,Male,0.898969388936887
Gender,Another gender identity,0.9999
Race/Ethnicity,Native_American,0.2862095228876555
Race/Ethnicity,White,0.9999
Race/Ethnicity,Latinx,0.9999
Race/Ethnicity,Multiracial,0.9999
Race/Ethnicity,Black,0.933211255519209
Race/Ethnicity,AAPI,0.953311779249577
Educational Attainment,High_school,0.9999
Educational Attainment,Some_schooling,0.7474696444902045
Educational Attainment,Some_college,0.9999
Educational Attainment,Bachelors,0.9999
