Feature,Value,Expected Num Dropouts,True Num Dropouts,Difference
AGE,Middle Age,1.4255250782070052,1,0.42552507820700525
AGE,Retirement Age,0.34390484078226735,0,0.34390484078226735
AGE,Young Adult,1.6539555614323254,0,1.6539555614323254
GENDER,Female,0.5085249082087484,0,0.5085249082087484
GENDER,Male,2.9148605722128487,1,1.9148605722128487
GENDER,NonCis,0,0,0
INDIGENOUS,0.0,3.164900800808791,1,2.164900800808791
INDIGENOUS,1.0,0.25848467961280586,0,0.25848467961280586
RACIAL_MINORITY,0.0,1.1630072963707794,0,1.1630072963707794
RACIAL_MINORITY,1.0,2.2603781840508184,1,1.2603781840508184
INCOME,1.0,1.4632981161875618,1,0.4632981161875618
INCOME,2.0,0.29372679162656656,0,0.29372679162656656
INCOME,3.0,1.6663605726074695,0,1.6663605726074695
